Overall,Bib,Name,Time
462,3156,Blake Barton,4:18:26
463,5039,Kirsten Scheel,4:18:27
464,12010,Scott Benjamin,4:18:32
465,5014,Aaron Richards,4:18:34
466,6116,Alan Pettit,4:18:39
467,14044,Laura Alison,4:18:43
468,9083,Jason Counsman,4:18:45
469,3067,Michael Gude,4:18:52
470,5080,Richard Dell'Isola,4:19:06
471,3014,Sean Hilsdon,4:19:06
472,3038,Andrew Thompson,4:19:08
473,5078,Chad Lockard,4:19:15
474,10136,Lauren Russell,4:19:22
475,3033,Andrew Michael,4:19:23
476,6192,Katherine Wilson,4:19:26
477,4064,Mary Van Meter,4:19:26
478,3142,James Carty,4:19:30
479,7003,April Barker,4:19:36
480,6201,Dan Minea,4:19:39
481,16230,Orion Pahl,4:19:40
482,8136,Amanda Whaley,4:19:46
483,10025,Gregory Fenske,4:19:56
484,10008,Andrew Levy,4:20:04
485,21005,Crystal Pesce,4:20:08
486,3127,Nghiem Le,4:20:15
487,9090,Luke Miller,4:20:18
488,7078,Mark Carroll,4:20:19
489,1017,Todd Zoltack,4:20:23
490,7127,Amie Martin,4:20:30
491,4068,Jenn Burke,4:20:30
492,1005,Ramses Castro Perpuli,4:20:45
493,14038,Ashley Pedersen,4:20:51
494,2061,Ibrahim Berro,4:20:56
495,27011,Melanie Nekola,4:21:00
496,12113,Kelly Himmelberg,4:21:02
497,6049,Wesley King,4:21:04
498,4079,John Cooper,4:21:09
499,9074,Patrick Rohlfing,4:21:14
500,3024,Brian Milster,4:21:23
501,8137,Taylor Glenn,4:21:24
502,4031,Tyler Fox,4:21:26
503,15120,Raymundo Soto,4:21:26
504,2095,Pauleric Rice,4:21:33
505,8018,Rachael Libertin,4:21:35
506,10016,Julie Viehmann,4:21:36
507,6034,Maggie Dempster,4:21:39
508,2080,Martin Newman,4:21:49
509,10147,Charles Robert Bone,4:21:51
510,18138,David Friedrichs,4:21:52
511,6153,Gabriel Torress,4:21:56
512,3013,Tyler Cole,4:22:00
513,8113,Ryan Beaird,4:22:01
514,12077,Kyle Cochrane,4:22:01
515,3026,Adam Gartner,4:22:09
516,19039,Ryan Dawald,4:22:11
517,16132,Austi Critchfield,4:22:15
518,10007,Vicky Mitsukova,4:22:17
519,18112,Jon Whistance,4:22:18
520,13096,Aaron Perez,4:22:20
521,2101,Gilles Besin,4:22:21
522,4005,Vance Poss,4:22:22
523,9058,Amy Schwandt,4:22:29
524,15062,Caroline Dunn,4:22:30
525,7066,Allen Burke,4:22:32
526,22022,Luke Donahue,4:22:33
527,18111,Katie Hugentobler,4:22:39
528,10056,Ellen Rodkey,4:22:43
529,3120,Chelsea Koglmeier,4:22:43
530,13129,Jason Atnip,4:22:46
531,2039,John Wells,4:22:49
532,3139,Rodney Rhodes,4:22:57
533,14026,Annie Kepler,4:23:05
534,8069,Wyatt Shields,4:23:11
535,7196,Yohei Tsuchida,4:23:12
536,19145,Jason Drory,4:23:32
537,7090,Alyssa Frisby,4:23:39
538,4098,Jerry Lawless,4:23:41
539,3027,Brian Turner,4:23:41
540,5093,Jake Weston,4:23:46
541,6106,Joanna Duncan,4:23:50
542,7085,Robert Ginnow,4:23:54
543,6073,Christopher Urgo,4:23:55
544,4141,Melanie Haynes,4:24:03
545,3167,Brooke Groff,4:24:09
546,24046,Lindsey Holida,4:24:17
547,1106,Katherine Boda,4:24:22
548,8143,Michael Kline,4:24:26
549,12078,Amanda Binkley,4:24:33
550,12104,Kristen Koch,4:24:36
551,5057,Emily Martin,4:24:41
552,6051,Cassandra Lane,4:24:43
553,10076,Noelle Garcia,4:25:00
554,10077,Jamie Garcia,4:25:00
555,10075,Martin Garcia,4:25:01
556,7104,Megan Mayer,4:25:20
557,9044,Travis Leach,4:25:21
558,5065,Kodi Panzer,4:25:23
559,7160,Simon Putt,4:25:27
560,27372,Rebecca Johns,4:25:30
561,7138,Merideth Mcfarland,4:25:35
562,3244,Katie Williamson,4:25:39
563,24198,Cassidy Mcdonnell,4:25:39
564,15128,Albert Canton,4:25:51
565,6041,Lindsay Coons,4:25:51
566,6033,Sudarsan Murali,4:25:51
567,10140,Kellie Taylor,4:25:53
568,6162,Patrick Dalton,4:25:54
569,14035,Jon Dostal,4:25:55
570,8139,Jianwu Zhong,4:26:04
571,8134,Rebecca Wade,4:26:04
572,22081,Shannon Witt,4:26:07
573,12018,Dawn Hudson,4:26:09
574,2062,John Roche,4:26:10
575,13017,Robert Walker,4:26:21
576,16203,Johnathan Crotts,4:26:24
577,12138,Laluna Goodale,4:26:26
578,27362,Russell Woody,4:26:33
579,24059,Colin Taggart,4:26:36
580,17003,Chad Marzec,4:26:40
581,12126,Bradley Marzec,4:26:41
582,12085,Nathan Mcgee,4:26:53
583,7139,Ray Manahan,4:26:55
584,8000,Ashley Maxwell,4:26:58
585,11048,Jenna Garcia,4:26:59
586,6063,Kristen Johnson,4:27:20
587,16086,Joshua Nelkin,4:27:21
588,13023,Olaide Ajayi,4:27:23
589,8132,Rino Rojas,4:27:38
590,12121,Kevin Hoffman,4:27:38
591,4136,Stanislav Christiansen,4:27:50
592,10096,Daniel Mruzek,4:27:55
593,6072,Marco Castello,4:27:57
594,8008,Ryan Mertens,4:27:58
595,6068,Rebekah Stayton,4:28:01
596,16222,David Haensler,4:28:02
597,7017,Peter Biasotti,4:28:05
598,15037,Tamara Bivins,4:28:09
599,22010,Julie Nicoletti,4:28:13
600,22009,Kayla Nicoletti,4:28:14
601,19105,Angela Derosier,4:28:23
602,6011,Christopher Street-Razbadouski,4:28:26
603,7039,Shelby Stepper,4:28:30
604,7202,Kendra Evans,4:28:31
605,16145,David Friend,4:28:33
606,4089,Candice Appleby,4:28:33
607,19172,Alexander Heddle,4:28:36
608,10118,Dorothy Butler,4:28:39
609,6150,Joseph Holt,4:28:44
610,10122,Ryan Kelly,4:28:45
